ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,2020-06-27 00:00:00,001,颗粒物,5.44,20,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,2020-06-27 00:00:00,002,二氧化硫,15.15,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,2020-06-27 00:00:00,003,氮氧化物,64.39,250,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,2020-06-27 00:00:00,004,一氧化碳,0.001,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F4077A9A9D5E1CFAD3,2020-06-27 00:00:00,008,氯化氢,3.67,50,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,2020-06-27 00:00:00,001,颗粒物,5.32,20,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,2020-06-27 00:00:00,002,二氧化硫,1.82,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,2020-06-27 00:00:00,003,氮氧化物,62.15,250,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,2020-06-27 00:00:00,004,一氧化碳,0.0,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F46150B1574CFEFCBD,2020-06-27 00:00:00,008,氯化氢,4.41,50,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,2020-06-27 00:00:00,001,颗粒物,4.49,20,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,2020-06-27 00:00:00,002,二氧化硫,10.31,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,2020-06-27 00:00:00,003,氮氧化物,58.73,250,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,2020-06-27 00:00:00,004,一氧化碳,0.01,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
8F3EAC9171F405F45655D76A2F7C4613,8F3EAC9171F405F48678F1F8E54B86E3,2020-06-27 00:00:00,008,氯化氢,7.0,50,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
