ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC69822A2ED94B9380DEE0A,2020-06-07 00:00:00,001,颗粒物,3.76,20,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC69822A2ED94B9380DEE0A,2020-06-07 00:00:00,002,二氧化硫,30.89,80,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC69822A2ED94B9380DEE0A,2020-06-07 00:00:00,003,氮氧化物,161.73,250,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC69822A2ED94B9380DEE0A,2020-06-07 00:00:00,004,一氧化碳,2.13,80,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC69822A2ED94B9380DEE0A,2020-06-07 00:00:00,008,氯化氢,9.41,50,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC698220F286019B5382130,2020-06-07 00:00:00,001,颗粒物,4.23,20,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC698220F286019B5382130,2020-06-07 00:00:00,002,二氧化硫,3.16,80,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC698220F286019B5382130,2020-06-07 00:00:00,003,氮氧化物,169.31,250,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC698220F286019B5382130,2020-06-07 00:00:00,004,一氧化碳,2.59,80,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
3255E390BCC698228D75DD1FC2C7400A,3255E390BCC698220F286019B5382130,2020-06-07 00:00:00,008,氯化氢,18.21,50,通讯中断,0,0,2020-06-08T09:21:17.677,2020-06-08T09:21:21.84,20200607
