ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2020-06-16 00:00:00,001,颗粒物,12.83,20,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2020-06-16 00:00:00,002,二氧化硫,9.22,80,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2020-06-16 00:00:00,003,氮氧化物,176.43,250,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2020-06-16 00:00:00,004,一氧化碳,0.39,80,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2020-06-16 00:00:00,008,氯化氢,8.82,50,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2020-06-16 00:00:00,001,颗粒物,11.59,20,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2020-06-16 00:00:00,002,二氧化硫,5.25,80,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2020-06-16 00:00:00,003,氮氧化物,178.92,250,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2020-06-16 00:00:00,004,一氧化碳,3.44,80,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2020-06-16 00:00:00,008,氯化氢,10.74,50,,0,0,2020-06-17T09:23:05.827,2020-06-17T09:23:13.487,20200616
