ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2020-06-27 00:00:00,001,颗粒物,2.88,20,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2020-06-27 00:00:00,002,二氧化硫,27.32,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2020-06-27 00:00:00,003,氮氧化物,196.71,250,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2020-06-27 00:00:00,004,一氧化碳,10.96,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984B45888E11EA399D38,2020-06-27 00:00:00,008,氯化氢,3.82,50,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2020-06-27 00:00:00,001,颗粒物,4.68,20,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2020-06-27 00:00:00,002,二氧化硫,26.96,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2020-06-27 00:00:00,003,氮氧化物,220.95,250,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2020-06-27 00:00:00,004,一氧化碳,7.69,80,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
A72A7408C1DC984BAAC33F50368CD271,A72A7408C1DC984BF047E0783DADED3B,2020-06-27 00:00:00,008,氯化氢,4.5,50,,0,0,2020-06-28T09:36:52.787,2020-06-28T09:37:03.803,20200627
